date,type,entry_price,entry_time_utc,exit_price,exit_time_utc,exit_reason,hit_tp_sl,size_usd,qty,fees_usd,pnl_usd,pnl_pct,symbol,tp_price,sl_price,bars_held,atr_at_entry
2025-07-02,Long,107396.76,2025-07-02T08:05:00.000Z,107838.21818326012884,2025-07-02T10:55:00.000Z,TakeProfit,TakeProfit,999.8638356,0.00931,2.0038376468861517995004,2.1061380392656477008996,0.21064248593428,BTCUSDT,107838.21818326012884,107151.5042870777062,35,98.10198516891752
2025-07-02,Long,108029.71,2025-07-02T14:50:00.000Z,108808.08213121574868,2025-07-02T16:00:00.000Z,TakeProfit,TakeProfit,1000.3551146,0.00926,2.0079179551350578327768,5.1998079799227749440232,0.51979621076881,BTCUSDT,108808.08213121574868,107597.2747366579174,15,172.97248493683304
2025-07-02,Long,109526,2025-07-02T16:10:00.000Z,109007.822114056149825,2025-07-02T17:35:00.000Z,StopLoss,StopLoss,999.97238,0.00913,1.99521379590133264790225,-6.72617789456868474565225,-0.67263636767334,BTCUSDT,110458.709848698930315,109007.822114056149825,18,207.26967637754007
2025-07-02,Long,109162.49,2025-07-02T17:55:00.000Z,108849.6,2025-07-02T23:55:00.000Z,Timeout,None,999.9284084,0.00916,1.9969907444,-4.8630631444,-0.48634113237981,BTCUSDT,110174.49351623561049,108600.26996053577195,73,224.88907938569122
2025-07-03,Long,109089.09,2025-07-03T00:45:00.000Z,108803.638207882747375,2025-07-03T02:10:00.000Z,StopLoss,StopLoss,1000.3469553,0.00917,1.99807631766628479342875,-4.61566925138149136467875,-0.46140683759039,BTCUSDT,109602.903225811054725,108803.638207882747375,18,114.18071684690105
2025-07-03,Long,110249.83,2025-07-03T09:45:00.000Z,109943.1335432343635,2025-07-03T09:50:00.000Z,StopLoss,StopLoss,999.9659581,0.00907,1.997150179337135676945,-4.778887042201458731945,-0.47790497301345,BTCUSDT,110801.8945813781457,109943.1335432343635,2,122.6801483062546
2025-07-03,Long,110298.54,2025-07-03T13:50:00.000Z,109721.5948639321746,2025-07-03T14:30:00.000Z,StopLoss,StopLoss,1000.4077578,0.00907,1.995582623215864823622,-7.228475007351041201622,-0.72255287416475,BTCUSDT,111337.03856532208572,109721.5948639321746,9,230.77767162713016
2025-07-03,Short,109283.92,2025-07-03T16:55:00.000Z,109810.9918659836353,2025-07-03T19:00:00.000Z,StopLoss,StopLoss,999.947868,0.00915,2.004718443573750262995,-6.827426017324013257995,-0.68277819632533,BTCUSDT,108335.19208322945646,109810.9918659836353,26,210.82854039345412
2025-07-04,Short,107344.02,2025-07-04T19:25:00.000Z,107626.384279404848625,2025-07-04T20:10:00.000Z,StopLoss,StopLoss,1000.4462664,0.00932,2.003524167884053189185,-4.635159251937242374185,-0.46330916588018,BTCUSDT,106835.776964271272475,107626.384279404848625,10,112.94390216193945
2025-07-05,Long,108369.81,2025-07-05T04:30:00.000Z,108200.789131950129725,2025-07-05T04:45:00.000Z,StopLoss,StopLoss,1000.2533463,0.00923,1.99894662998789969736175,-3.55900924208820233561175,-0.35581078086399,BTCUSDT,108674.052980489766495,108200.789131950129725,4,67.60912121994811
