date,type,entry_price,entry_time_utc,exit_price,exit_time_utc,exit_reason,hit_tp_sl,size_usd,qty,fees_usd,pnl_usd,pnl_pct,symbol,tp_price,sl_price,bars_held,atr_at_entry
2020-10-02,Short,10588.96,2020-10-02T05:00:00.000Z,10463.7446917620603075,2020-10-02T05:15:00.000Z,TakeProfit,TakeProfit,1000.0213824,0.09444,1.9882174310900089754403,9.8371162789010155842597,0.98369059422434,BTCUSDT,10463.7446917620603075,10658.5256125766331625,2,27.825845830653265
2020-10-02,Short,10443.84,2020-10-02T08:15:00.000Z,10542.87453507207005,2020-10-02T13:45:00.000Z,StopLoss,StopLoss,999.99768,0.09575,2.0094779167331507072875,-11.4920346498838579947875,-1.14920613114661,BTCUSDT,10265.56527047027391,10542.87453507207005,23,39.61560922882802
2020-10-02,Short,10468.63,2020-10-02T22:00:00.000Z,10533.49349705544679,2020-10-02T22:30:00.000Z,StopLoss,StopLoss,999.9635376,0.09552,2.0061228364387362773808,-8.2018840751750136581808,-0.82021831464578,BTCUSDT,10351.884194900195778,10533.49349705544679,3,25.944186022178716
2020-10-03,Short,10503.52,2020-10-03T06:15:00.000Z,10551.70199326205095,2020-10-03T11:15:00.000Z,StopLoss,StopLoss,1000.0401392,0.09521,2.0046676859784798709495,-6.5920752644583508204495,-0.65918106744513,BTCUSDT,10416.79113252830829,10551.70199326205095,21,19.27298010482038
2020-10-04,Long,10612.86,2020-10-04T06:45:00.000Z,10571.911640034288725,2020-10-04T10:00:00.000Z,StopLoss,StopLoss,1000.0497978,0.09423,1.99624103164043102655675,-5.85480499120940446980675,-0.58545134493196,BTCUSDT,10686.563150338280295,10571.911640034288725,14,16.37878718628451
2020-10-04,Long,10597.31,2020-10-04T11:45:00.000Z,10672.4291755660893,2020-10-04T19:00:00.000Z,TakeProfit,TakeProfit,999.9621716,0.09436,2.007012588606416186348,5.081232817809770161652,0.50814250399888,BTCUSDT,10672.4291755660893,10555.5773782410615,30,16.6931139035754
2020-10-05,Long,10672.92,2020-10-04T19:30:00.000Z,10622.528241513280855,2020-10-05T06:15:00.000Z,StopLoss,StopLoss,1000.052604,0.0937,1.9953835002297944161135,-6.7170912704353783026135,-0.67167379431526,BTCUSDT,10763.632448076094461,10622.528241513280855,44,20.157743794687658
2020-10-05,Long,10662.25,2020-10-05T07:15:00.000Z,10750.530126555276975,2020-10-05T14:00:00.000Z,TakeProfit,TakeProfit,1000.0124275,0.09379,2.00830464806961942748525,6.27148842154980805776475,0.6271410483596,BTCUSDT,10750.530126555276975,10613.211191024846125,28,19.61699079006155
2020-10-06,Long,10772.35,2020-10-05T23:45:00.000Z,10722.193810709567075,2020-10-06T07:45:00.000Z,StopLoss,StopLoss,999.9972505,0.09283,1.99533850194816911157225,-6.65133755377905753932225,-0.66513558416819,BTCUSDT,10862.638580322779265,10722.193810709567075,33,20.06353851617317
2020-10-06,Short,10675.57,2020-10-06T14:00:00.000Z,10729.4547949565669675,2020-10-06T15:45:00.000Z,StopLoss,StopLoss,999.9806419,0.09367,2.005008672543581627845725,-7.052397416125209473570725,-0.70525339397825,BTCUSDT,10578.5839098781794585,10729.4547949565669675,8,21.552983582626787
2020-10-07,Short,10579.6,2020-10-06T19:15:00.000Z,10620.12,2020-10-07T13:15:00.000Z,Timeout,None,999.983792,0.09452,2.0037975344,-5.8337479344,-0.58338424893191,BTCUSDT,10424.213384712036975,10665.928905826646125,73,34.53078873065845
2020-10-07,Short,10605.68,2020-10-07T16:30:00.000Z,10655.229234994223925,2020-10-07T18:15:00.000Z,StopLoss,StopLoss,1000.0095672,0.09429,2.00469113176760537388825,-6.67668849937297926213825,-0.66766246227699,BTCUSDT,10516.489489810396935,10655.229234994223925,8,19.81996359768957
2020-10-08,Short,10595.84,2020-10-08T07:15:00.000Z,10641.49179261559436,2020-10-08T12:30:00.000Z,StopLoss,StopLoss,1000.0353792,0.09438,2.0043793745870597956968,-6.3129955616468554924968,-0.63127722208159,BTCUSDT,10513.667641291930152,10641.49179261559436,22,18.260593046237744
2020-10-08,Long,10737.62,2020-10-08T13:30:00.000Z,10869.24503985826833,2020-10-08T14:30:00.000Z,TakeProfit,TakeProfit,999.9945506,0.09313,2.0122473411620005295729,10.2459926208385290433271,1.0246048455655,BTCUSDT,10869.24503985826833,10664.48895941207315,5,29.25086863517074
2020-10-09,Long,10911.33,2020-10-08T15:00:00.000Z,10882.18,2020-10-09T09:00:00.000Z,Timeout,None,1000.0233945,0.09165,1.9973751915,-4.6689726915,-0.46688634657736,BTCUSDT,11101.2035367941074125,10805.8427697810514375,73,42.194395287579425
2020-10-09,Long,10984.08,2020-10-09T10:45:00.000Z,11093.84249593864878,2020-10-09T11:15:00.000Z,TakeProfit,TakeProfit,999.9906432,0.09104,2.0099740640302545849312,7.9828035662243303462688,0.79828782604196,BTCUSDT,11093.84249593864878,10923.1031409229729,3,24.39133643081084
2020-10-09,Long,11085.04,2020-10-09T16:00:00.000Z,11016.434135792952465,2020-10-09T19:00:00.000Z,StopLoss,StopLoss,999.9814584,0.09021,1.99377398178988224186765,-8.18270899190764037421765,-0.81828607152379,BTCUSDT,11208.534433572685563,11016.434135792952465,13,27.442899682819014
2020-10-10,Long,11042.62,2020-10-09T21:45:00.000Z,11130.26523889870035,2020-10-10T02:00:00.000Z,TakeProfit,TakeProfit,1000.0196672,0.09056,2.007976487234666303696,5.929176347431637392304,0.59290597394279,BTCUSDT,11130.26523889870035,10993.92139972294425,18,19.4776913108223
2020-10-10,Long,11384.13,2020-10-10T02:30:00.000Z,11272.8287969976875,2020-10-10T06:45:00.000Z,StopLoss,StopLoss,999.9819792,0.08784,1.99018726072827687,-11.76688493245140687,-1.17670969849528,BTCUSDT,11584.4762898041625,11272.8287969976875,18,44.521070400925
2020-10-10,Long,11351.78,2020-10-10T13:45:00.000Z,11265.961010561951225,2020-10-10T23:30:00.000Z,StopLoss,StopLoss,999.9783002,0.08809,1.99239680562040228341025,-9.55219158521811887316025,-0.95523988703631,BTCUSDT,11506.267363388487795,11265.961010561951225,40,34.32947897521951
2020-10-11,Long,11364.04,2020-10-11T02:00:00.000Z,11339.6,2020-10-11T20:00:00.000Z,Timeout,None,1000.03552,0.088,1.99792032,-4.14864032,-0.41484929655299,BTCUSDT,11500.24827864870558,11288.3741505284969,73,30.26773258860124
2020-10-12,Long,11518.8,2020-10-12T15:30:00.000Z,11697.834550530122415,2020-10-12T21:30:00.000Z,TakeProfit,TakeProfit,999.947028,0.08681,2.01543604533151992684615,13.52655328618840691930385,1.3527269852727,BTCUSDT,11697.834550530122415,11419.333257483265325,25,39.78589900669387
2020-10-13,Long,11512.61,2020-10-13T05:30:00.000Z,11431.39684455534311,2020-10-13T07:15:00.000Z,StopLoss,StopLoss,999.9853046,0.08686,1.9929164345180771025346,-9.0470911164409745679346,-0.90472240690176,BTCUSDT,11658.789827000382402,11431.39684455534311,8,32.484711777862756
2020-10-14,Short,11363.63,2020-10-13T13:45:00.000Z,11466.90237486089326,2020-10-14T00:30:00.000Z,StopLoss,StopLoss,999.99944,0.088,2.00908684898775860688,-11.09705583674636548688,-1.10970620511011,BTCUSDT,11177.749589650392132,11466.90237486089326,44,41.307540744357304
2020-10-14,Short,11388.86,2020-10-14T04:00:00.000Z,11449.2813735842836925,2020-10-14T13:30:00.000Z,StopLoss,StopLoss,1000.0557966,0.08781,2.005417194014435951038425,-7.311018008450386989463425,-0.73106101012628,BTCUSDT,11280.1043275482893535,11449.2813735842836925,39,24.168149433713477
2020-10-14,Short,11319.63,2020-10-14T16:00:00.000Z,11426.85507105059095,2020-10-14T23:45:00.000Z,StopLoss,StopLoss,999.9761142,0.08834,2.009424491176609204523,-11.481687267785813727523,-1.14819615236224,BTCUSDT,11126.61905930893629,11426.85507105059095,32,42.89085882023638
2020-10-15,Short,11377.29,2020-10-15T01:30:00.000Z,11268.223181774116326,2020-10-15T09:45:00.000Z,TakeProfit,TakeProfit,999.9500181,0.08789,1.99031415354612708389214,7.59556850032678902396786,0.75959481602481,BTCUSDT,11268.223181774116326,11437.88603212549093,34,24.237550050196372
2020-10-15,Long,11443.33,2020-10-15T16:30:00.000Z,11583.44728091407089,2020-10-15T20:00:00.000Z,TakeProfit,TakeProfit,1000.0326087,0.08739,2.0123100665790806550771,10.2325391125015744220229,1.02322054535836,BTCUSDT,11583.44728091407089,11365.48014860329395,15,31.13816175868242
2020-10-16,Long,11529.41,2020-10-16T01:15:00.000Z,11447.967355666441275,2020-10-16T04:00:00.000Z,StopLoss,StopLoss,999.9457293,0.08673,1.99282793805695045178075,-9.05634848110649867103075,-0.90568400021532,BTCUSDT,11675.998203000405705,11447.967355666441275,12,32.57583533342349
2020-10-16,Short,11246.41,2020-10-16T09:15:00.000Z,11334.1668428073647375,2020-10-16T11:15:00.000Z,StopLoss,StopLoss,1000.0307772,0.08892,2.0078648928624308724585,-9.8112033552933033309585,-0.98109014032186,BTCUSDT,11088.4343745467434725,11334.1668428073647375,9,35.104638322945895
2020-10-17,Short,11333.22,2020-10-16T14:45:00.000Z,11315.59,2020-10-17T08:45:00.000Z,Timeout,None,1000.0433328,0.08824,1.9985309944,-0.4428597944,-0.04428406048766,BTCUSDT,11177.69774718960846,11419.6159082279953,73,34.55973729119812
2020-10-17,Short,11296.02,2020-10-17T14:45:00.000Z,11338.8834617573899325,2020-10-17T15:00:00.000Z,StopLoss,StopLoss,1000.0366506,0.08853,2.003868003469381730724225,-5.798570272851112454949225,-0.57983577595602,BTCUSDT,11218.8665668366981215,11338.8834617573899325,2,17.145270702955973
2020-10-19,Long,11434.55,2020-10-18T06:45:00.000Z,11516.17052220158268,2020-10-19T00:00:00.000Z,TakeProfit,TakeProfit,999.9513975,0.08745,2.007040509666528405366,5.130674156861876960634,0.51309235325729,BTCUSDT,11516.17052220158268,11389.1997136657874,70,18.13868693368504
2020-10-19,Long,11499.14,2020-10-19T12:15:00.000Z,11597.0918293960602525,2020-10-19T13:00:00.000Z,TakeProfit,TakeProfit,999.9652144,0.08696,2.0084483198842813995574,6.5094427643971181578426,0.65096692071463,BTCUSDT,11597.0918293960602525,11444.7222718910776375,4,21.767079643568945
2020-10-19,Long,11652.96,2020-10-19T13:30:00.000Z,11792.60512960213017,2020-10-19T15:45:00.000Z,TakeProfit,TakeProfit,1000.0570272,0.08582,2.0120983994224548111894,9.9722466230323563782106,0.99716779661586,BTCUSDT,11792.60512960213017,11575.38650777659435,10,31.03123168936226
2020-10-20,Long,11746.61,2020-10-19T18:15:00.000Z,11908.144863528287625,2020-10-20T11:00:00.000Z,TakeProfit,TakeProfit,999.9889093,0.08513,2.01372928153216312551625,11.73773365063096239073375,1.17378638317574,BTCUSDT,11908.144863528287625,11656.860976706506875,68,35.89769811739725
2020-10-21,Long,11820.4,2020-10-20T12:15:00.000Z,12047.16830455495827,2020-10-21T02:45:00.000Z,TakeProfit,TakeProfit,1000.00584,0.0846,2.019196278565349469642,17.165402286784120172358,1.71653020414202,BTCUSDT,12047.16830455495827,11694.41425169168985,59,50.39343612332406
2020-10-21,Long,12173.68,2020-10-21T03:15:00.000Z,12371.993857421835597,2020-10-21T11:45:00.000Z,TakeProfit,TakeProfit,999.9460752,0.08214,2.01618165064862957593758,14.27331859798094636164242,1.42740883253391,BTCUSDT,12371.993857421835597,12063.509539210091335,35,44.069188315963466
2020-10-21,Long,12340.25,2020-10-21T12:30:00.000Z,12576.039531904489635,2020-10-21T14:15:00.000Z,TakeProfit,TakeProfit,1000.05386,0.08104,2.0192161036655398400204,17.0891675618743001803796,1.70882471888807,BTCUSDT,12576.039531904489635,12209.249363164172425,8,52.39859553433103
2020-10-21,Long,12718.44,2020-10-21T15:45:00.000Z,13095.11795080943934,2020-10-21T22:30:00.000Z,TakeProfit,TakeProfit,1000.0509372,0.07863,2.0297200616721462153042,27.5884672104740690888958,2.75870620027794,BTCUSDT,13095.11795080943934,12509.1714057725337,28,83.70664929098652
2020-10-22,Long,12903.72,2020-10-22T01:00:00.000Z,13074.67,2020-10-22T19:00:00.000Z,Timeout,None,1000.0383,0.0775,2.013325225,11.235299775,1.12348694794989,BTCUSDT,13397.972460490828035,12629.134520393984425,73,109.83399144240623
2020-10-22,Long,13142.42,2020-10-22T19:30:00.000Z,12992.37995812182655,2020-10-22T21:45:00.000Z,StopLoss,StopLoss,1000.0067378,0.07609,1.9885969288134897821895,-13.4051437153237075926895,-1.34050533947549,BTCUSDT,13412.47983098071221,12992.37995812182655,10,60.01426755126938
2020-10-23,Long,12974.24,2020-10-23T02:45:00.000Z,12813.39727225526425,2020-10-23T16:15:00.000Z,StopLoss,StopLoss,1000.0544192,0.07708,1.98771108094543576839,-14.38546853550966737839,-1.43846857324199,BTCUSDT,13263.76375874052435,12813.39727225526425,55,64.3380694978943
2020-10-23,Short,12744.74,2020-10-23T16:45:00.000Z,12881.535708352769035,2020-10-23T19:30:00.000Z,StopLoss,StopLoss,999.9523004,0.07846,2.0106375920773582584861,-12.7436288694356167445861,-1.27442367644316,BTCUSDT,12498.494842165015737,12881.535708352769035,12,54.720123741107614
2020-10-24,Short,12881.51,2020-10-24T00:30:00.000Z,12974.60858858296055,2020-10-24T02:00:00.000Z,StopLoss,StopLoss,999.9916213,0.07763,2.0072104860316952274965,-9.2344539177269227239965,-0.92345312910943,BTCUSDT,12713.93735655067101,12974.60858858296055,7,37.23874743318422
